                                                                                                                             Pathways  ES-medio
                                                                                      REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY -0.542097
                                                                            REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE -0.632488
                                                                                            REACTOME_INTEGRATION_OF_ENERGY_METABOLISM -0.482713
                                                                                         REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION -1.084240
                                                                                                          REACTOME_METABOLISM_OF_MRNA -0.532489
                                                                                                             REACTOME_SYNTHESIS_OF_PC -0.802699
                                                                         REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR -0.945320
                                                                    REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS -0.579034
                                                                                             REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS -0.629455
                                                                        REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS -0.739200
                                                                                                        REACTOME_BASE_EXCISION_REPAIR -0.800350
                                                                                                       REACTOME_BIOLOGICAL_OXIDATIONS -0.360494
                                                       REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX -0.507584
                                                                                                          REACTOME_SIGNALING_BY_ERBB4 -0.658527
                                                                             REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1 -0.768127
                                                                                       REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION -0.691335
                                                                                                REACTOME_SULFUR_AMINO_ACID_METABOLISM -0.521211
                                                                                                               REACTOME_AXON_GUIDANCE -0.555852
                                                                                             REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK -0.604123
                                                                                              REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING -0.646022
                                                                              REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS -0.814978
                                                                                                               REACTOME_TCR_SIGNALING -0.687898
                                                            REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS -0.714792
                                                                                          REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS -0.648442
                                                                                       REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES -0.532392
                                                                                                           REACTOME_SIGNALLING_BY_NGF -0.560734
                                                                                                          REACTOME_COLLAGEN_FORMATION -0.410855
                                                                                               REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING -0.847185
                                                                                                           REACTOME_SIGNALING_BY_FGFR -0.536213
                                                                                 REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES -0.682520
                                                                                                          REACTOME_L1CAM_INTERACTIONS -0.655654
                                                                                                  REACTOME_DOUBLE_STRAND_BREAK_REPAIR -1.186285
                                                                         REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION -0.696707
                              REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS -0.695996
                                                                 REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_ -0.327739
                                                                                         REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS -0.671019
                                                                                                                  REACTOME_DNA_REPAIR -0.728206
                                                                  REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES -0.756735
                                                                                                             REACTOME_RAP1_SIGNALLING -0.575212
                                                                                                           REACTOME_METABOLISM_OF_RNA -0.571092
                                                                                     REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR -0.690521
                                                                                                             REACTOME_DARPP_32_EVENTS -0.656745
                                                                                              REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION -0.670980
                                                                                                          REACTOME_SIGNALLING_TO_ERKS -0.682536
                                                                                           REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS -0.521773
                                                                                                              REACTOME_IL_2_SIGNALING -0.707223
                                                                                               REACTOME_GENERIC_TRANSCRIPTION_PATHWAY -0.610222
                                                                                           REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION -0.577602
                                                                                                             REACTOME_DNA_REPLICATION -0.628409
                                                                 REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE -0.524584
                                                                                   REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC -0.677127
                                                                                                            REACTOME_GAB1_SIGNALOSOME -0.765297
                                                                                                          REACTOME_SIGNALING_BY_HIPPO -0.750427
                                                                                                                     REACTOME_S_PHASE -0.720648
                                                                                                REACTOME_PIP3_ACTIVATES_AKT_SIGNALING -0.747698
                                                                                       REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS -0.501240
                                                                                                        REACTOME_ER_PHAGOSOME_PATHWAY -0.697707
                                                                                                              REACTOME_HIV_LIFE_CYCLE -0.741402
                                                                             REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS -0.964032
                    REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1 -0.720112
                                                                                                  REACTOME_INTERFERON_GAMMA_SIGNALING -0.774230
                                                                                                           REACTOME_OPIOID_SIGNALLING -0.422347
